task,horizon,ticker,model,window,refits,intercept_only_share,median_candidates,median_retained,max_missing_indicators,max_excluded_low_coverage,median_effective_df,median_condition_number,min_rank,median_nonzero_coefficients,median_tree_leaves,distinct_retained_sets
return,1,CRS,A6_industry,expanding,44,0.18181818181818182,66.0,59.0,12,7,0.5563738962587419,1762.895669025589,0,71.0,,1
return,1,CRS,A7_business,expanding,44,0.0,72.0,65.0,12,7,4.105625870257486,1545.3785567353962,70,77.0,,1
return,1,CRS,A8_transform,expanding,44,0.0,80.0,73.0,16,8,4.580874917616976,2524.26747677268,78,89.0,,2
return,1,CRS,A9_interaction,expanding,44,0.0,82.0,75.0,18,8,4.691365103442087,2614.1022244016604,80,93.0,,2
return,1,CRS,P1_financial,expanding,44,1.0,22.0,19.0,0,3,0.0,,0,0.0,,1
return,1,CRS,P2_valuation,expanding,44,0.7272727272727273,32.0,27.0,12,5,0.0,968.9445513778564,0,0.0,,1
return,1,CRS,P3_transform,expanding,44,0.7272727272727273,40.0,35.0,15,6,0.0,1093.2272869307171,0,0.0,,2
return,1,CRS,P4_market,expanding,44,0.45454545454545453,69.0,62.0,16,8,0.5721270390046291,2147.9826368677177,0,71.0,,2
return,1,CRS,P5_industry,expanding,44,0.18181818181818182,74.0,67.0,16,8,4.034581997067455,2358.162364269053,0,81.0,,2
return,1,CRS,P6_business,expanding,44,0.0,80.0,73.0,16,8,4.580874917616976,2524.26747677268,78,89.0,,2
return,1,CRS,ar1,expanding,44,0.0,1.0,1.0,0,0,1.0,1.0,1,1.0,,1
return,1,CRS,arx,expanding,44,0.0,7.0,7.0,2,0,9.0,11.036627496864945,8,9.0,,1
return,1,CRS,boost_full,expanding,44,0.8181818181818182,80.0,73.0,16,8,0.0,2110.7187463596792,0,0.0,337.0,2
